cefe -20.31079  -40.31946  0.012715 -0.004554  0.000031  0.000047  0.000001  4562488.4904 -3871935.8191 -2200001.4729  0.001880 -0.007568  0.011215  0.000050  0.000045  0.000028  9.87 3209
chpi -22.68715  -44.98516  0.012126 -0.003983  0.000027  0.000037 -0.000000  4164613.8690 -4162456.8477 -2445028.8459  0.000760 -0.006392  0.011029  0.000037  0.000037  0.000025 15.84 4642
goja -17.88328  -51.72611  0.011705 -0.003737  0.000028  0.000048 -0.000001  3761502.4066 -4767353.0126 -1946325.8762 -0.001658 -0.003932  0.011634  0.000045  0.000052  0.000026  9.27 3169
kour   5.25218  -52.80596  0.013009 -0.004640  0.000008  0.000022 -0.000000  3839591.4128 -5059567.5695   579957.0076 -0.005365 -0.000606  0.012811  0.000022  0.000022  0.000008 15.09 4934
mcla -16.72039  -43.88132  0.012291 -0.004016  0.000062  0.000118  0.000002  4404519.5821 -4235798.4046 -1823409.1077  0.000259 -0.005820  0.011566  0.000124  0.000112  0.000057 13.03 4097
mgin -22.31856  -46.32802  0.012214 -0.004433  0.000022  0.000031  0.000000  4076879.9474 -4270390.9494 -2407418.0253  0.000892 -0.007354  0.010767  0.000031  0.000030  0.000021  9.53 3390
mgmc -16.71639  -43.85832  0.012813 -0.004357  0.000018  0.000035  0.000000  4406284.9355 -4234092.8499 -1822973.7078  0.002871 -0.008801  0.010925  0.000035  0.000035  0.000016  9.27 3215
mgub -18.91916  -48.25605  0.012073 -0.004183  0.000020  0.000035 -0.000000  4019130.6042 -4504012.5674 -2055168.6942  0.000732 -0.007103  0.010779  0.000034  0.000036  0.000018  9.51 3410
naus  -3.02292  -60.05502  0.011863 -0.003960  0.000031  0.000106 -0.000001  3179409.3695 -5519130.6724  -334110.0878 -0.003138 -0.002487  0.011848  0.000098  0.000129  0.000030 11.53 4018
ouri -22.94917  -49.89504  0.012028 -0.003026  0.000178  0.000253 -0.000004  3785720.2236 -4494897.6621 -2471710.5019 -0.001355 -0.003088  0.012431  0.000245  0.000264  0.000164 10.18 3411
poal -30.07404  -51.11976  0.012576 -0.002243  0.000025  0.000030  0.000000  3467519.3995 -4300378.5248 -3177517.7244  0.002393 -0.006541  0.010713  0.000030  0.000030  0.000023 17.48 5918
poli -23.55565  -46.73031  0.011860 -0.003904  0.000042  0.000057  0.000000  4010099.5214 -4259927.3385 -2533538.7095  0.000441 -0.006164  0.010849  0.000058  0.000057  0.000039 10.51 3672
ppte -22.11990  -51.40853  0.012585 -0.002581  0.000085  0.000132 -0.000002  3687624.3617 -4620818.6914 -2386880.2937  0.001127 -0.005550  0.011535  0.000128  0.000138  0.000077 11.53 3797
riod -22.81784  -43.30628  0.011753 -0.004015  0.000046  0.000068  0.000001  4280294.8731 -4034431.1868 -2458141.4251  0.000040 -0.005556  0.011136  0.000070  0.000067  0.000042 22.13 5689
rjcg -21.76486  -41.32616  0.011727 -0.004779  0.000020  0.000029  0.000001  4450354.2506 -3913332.8131 -2350256.2764  0.000528 -0.006827  0.010669  0.000031  0.000027  0.000019  9.28 3330
scch -27.13756  -52.59951  0.012477 -0.003455  0.000103  0.000130 -0.000001  3450305.4337 -4512731.6960 -2892128.1569  0.000402 -0.006214  0.011365  0.000129  0.000133  0.000095  9.28 3286
scla -27.79283  -50.30426  0.012203 -0.003928  0.000110  0.000136 -0.000002  3606986.0523 -4345293.2703 -2956654.1044  0.001392 -0.007827  0.010152  0.000132  0.000140  0.000102  9.28 3355
sjrp -20.78552  -49.35995  0.011655 -0.004308  0.000021  0.000033 -0.000001  3885706.9107 -4527123.9849 -2249400.0389 -0.000401 -0.006147  0.010795  0.000032  0.000036  0.000019  9.53 3247
smar -29.71892  -53.71659  0.012381 -0.002715  0.000072  0.000085 -0.000003  3280748.4094 -4468909.7525 -3143408.6519  0.001665 -0.006855  0.010539  0.000081  0.000093  0.000067 14.53 5212
vico -20.76150  -42.86999  0.011830 -0.004316  0.000042  0.000055  0.000001  4373283.2997 -4059639.0191 -2246959.7441  0.001260 -0.007059  0.010481  0.000057  0.000054  0.000040 19.94 5848
