srlp -36.621498680  -64.280405630  0.000  0.01118 -0.00099
suar -37.458499020  -61.931292650  0.000  0.01068 -0.00163
sury -29.141352350  -62.655372190  0.000  0.01849 -0.00120
svic -26.993712960  -54.487520740  0.000  0.00872 -0.00268
tava -26.852978740  -65.710008130  0.000  0.01048  0.00584
tero -27.789144410  -64.256780650  0.000  0.01174  0.00055
tilc -23.577140280  -65.395072430  0.000  0.01299  0.00688
trnc -26.230215930  -65.282175040  0.000  0.01237  0.00479
tuc1 -26.832653640  -65.195669160  0.000  0.00758  0.00572
tucu -26.843254880  -65.230351550  0.000  0.01018  0.00299
ucor -31.434959470  -64.193505850  0.000  0.01178  0.00103
unro -32.959352420  -60.628425460  0.000  0.01135 -0.00027
unsa -24.727455940  -65.407643390  0.000  0.01350  0.00528
unsj -31.541257160  -68.577060590  0.000  0.01350  0.00719
uyco -34.462986040  -57.835382120  0.000  0.01199 -0.00216
uymo -34.888318276  -56.259882382  0.000  0.01184 -0.00316
uypa -32.291248710  -58.067188880  0.000  0.01126 -0.00188
uyro -34.001004760  -53.554825810  0.000  0.01194 -0.00306
uysa -31.375170810  -57.959780500  0.000  0.01240 -0.00183
uyso -33.261260740  -58.013618130  0.000  0.01181 -0.00291
uytd -30.946269320  -57.524501740  0.000  0.00020 -0.00778
vbca -38.700767720  -62.269227630  0.000  0.01122 -0.00032
vima -32.420005120  -63.241465460  0.000  0.00917 -0.00096
vira -28.035742830  -56.012388860  0.000  0.01157 -0.00374
ycba -22.017102380  -63.679984730  0.000  0.01409  0.00441
yema -24.280729850  -61.236506190  0.000  0.01153 -0.00266
alar  -9.749222980  -36.653420440  0.000  0.01256 -0.00453
amco  -4.871987840  -65.333979290  0.000  0.01144 -0.00317
ampr  -2.631222520  -56.734336450  0.000  0.01152 -0.00346
amte  -3.345688800  -64.706650430  0.000  0.01214 -0.00424
aplj  -0.821999680  -52.515593580  0.000  0.01156 -0.00355
apsa  -0.060256430  -51.167470110  0.000  0.01296 -0.00411
babr -12.150041660  -44.994895340  0.000  0.01229 -0.00372
bail -14.796601080  -39.172385540  0.000  0.01488 -0.00331
batf -17.554869810  -39.743345110  0.000  0.01319 -0.00517
bavc -14.888310740  -40.802702840  0.000  0.01197 -0.00416
bele  -1.408794880  -48.462549730  0.000  0.01305 -0.00461
bepa  -1.460806750  -48.441407440  0.000  0.01047 -0.00182
blpz -16.529850840  -68.168281800  0.000  0.01555  0.00375
boav   2.845183280  -60.701115140  0.000  0.01197 -0.00459
bomj -13.255557230  -43.421735540  0.000  0.01241 -0.00502
brft  -3.877446330  -38.425537390  0.000  0.01092 -0.00459
bsuc -19.006207720  -65.302619560  0.000  0.01405  0.01535
cbmb -17.416590870  -66.258826410  0.000  0.01357  0.00055
ceeu  -3.877547800  -38.425540770  0.000  0.01154 -0.00480
cefe -20.310792910  -40.319455320  0.000  0.01258 -0.00428
ceft  -3.710810570  -38.472918270  0.000  0.01237 -0.00530
cesb  -3.681268360  -40.337487280  0.000  0.01315 -0.00524
chpi -22.687146170  -44.985158550  0.000  0.01270 -0.00382
cjnt -23.027490950  -67.760575040  0.000  0.01651  0.01749
coam  -4.097809550  -63.145077930  0.000  0.01117 -0.00211
crat  -7.238018330  -39.415605510  0.000  0.01263 -0.00459
cuib -15.555262730  -56.069866740  0.000  0.01228 -0.00324
eesc -22.004947280  -47.899180880  0.000  0.01209 -0.00400
emib -16.532226980  -68.081701910  0.000  0.01723  0.00354
falk -51.693652200  -57.874067380  0.000  0.01383 -0.00056
fort  -3.877445680  -38.425612540  0.000  0.01250 -0.00467
gogy -16.664726870  -49.254673450  0.000  0.01243 -0.00388
goja -17.883277380  -51.726109320  0.000  0.01177 -0.00354
gval -18.855606440  -41.957619210  0.000  0.01276 -0.00422
ifsc -27.594431000  -48.542084000  0.000  0.01242 -0.00280
ilha -20.427783140  -51.343385100  0.000  0.01218 -0.00300
imbt -28.234838630  -48.655721510  0.000  0.01359 -0.00388
impz  -5.491765658  -47.497234909  0.000  0.01228 -0.00464
itai -25.420676431  -54.588293568  0.000  0.01313 -0.00400
jamg -15.362704740  -43.766852090  0.000  0.01252 -0.00465
kour   5.252180920  -52.805959560  0.000  0.01292 -0.00491
maba  -5.362377730  -49.122297880  0.000  0.01244 -0.00335
mabb  -4.240957620  -44.815723030  0.000  0.01312 -0.00402
mabs  -7.533813800  -46.039717420  0.000  0.01202 -0.00558
man1  -3.116150100  -60.056030900  0.000  0.01229 -0.00373
mapa   0.046686510  -51.097336890  0.000  0.01268 -0.00399
mcla -16.720393570  -43.881316570  0.000  0.01240 -0.00428
mgbh -19.941899780  -43.924897200  0.000  0.01220 -0.00586
mgin -22.318560470  -46.328024510  0.000  0.01262 -0.00419
mgmc -16.716390590  -43.858317040  0.000  0.01302 -0.00399
mgrp -19.209859100  -46.132552250  0.000  0.01265 -0.00417
mgub -18.919161780  -48.256049760  0.000  0.01230 -0.00393
mgv1 -21.542621000  -45.434994000  0.000  0.01247 -0.00422
mgva -21.542621220  -45.434993470  0.000  0.01200 -0.00416
msaq -20.452941480  -55.671165140  0.000  0.01183 -0.00332
mscb -18.988664880  -56.616890810  0.000  0.01150 -0.00279
mscg -20.440899100  -54.540702940  0.000  0.01147 -0.00174
msco -19.003521110  -57.636981280  0.000  0.00991 -0.00491
msdo -22.216854350  -54.813911450  0.000  0.01461 -0.00256
msdr -22.194104760  -54.930402280  0.000  0.00997 -0.00034
msmj -21.618206850  -55.137956850  0.000  0.01167 -0.00343
msnv -23.022038840  -54.192067680  0.000  0.01261 -0.00347
mtba -15.889969610  -52.264732010  0.000  0.01204 -0.00409
mtcn -13.555825350  -52.271357240  0.000  0.01346 -0.00411
mtco -10.803864110  -55.456263460  0.000  0.01260 -0.00394
mtit -17.218263460  -54.149540520  0.000  0.01273 -0.00319
mtji -11.448743080  -58.723585050  0.000  0.01164 -0.00344
mtsf -11.619279320  -50.663507040  0.000  0.01263 -0.00418
mtsr -12.545233350  -55.727413410  0.000  0.01265 -0.00444
mtv1 -34.913589180  -56.176301380  0.000  0.01141 -0.00280
mtvb -15.006425310  -59.951555840  0.000  0.01017 -0.00455
naus  -3.022918360  -60.055016980  0.000  0.01240 -0.00430
neia -25.020239040  -47.924968660  0.000  0.01289 -0.00310
onrj -22.895699670  -43.224331760  0.000  0.01227 -0.00418
ouri -22.949172360  -49.895041390  0.000  0.01172 -0.00311
paat  -3.200981910  -52.181307710  0.000  0.01320 -0.00467
pait  -4.287655460  -56.036355950  0.000  0.01163 -0.00375
para -25.448368300  -49.230954900  0.000  0.01230 -0.00311
past  -2.504733050  -54.721972490  0.000  0.01126 -0.00503
pbcg  -7.213676780  -35.907137910  0.000  0.01170 -0.00545
pbjp  -7.136276390  -34.873424380  0.000  0.01415 -0.00462
peaf  -7.764110490  -37.631955540  0.000  0.01269 -0.00488
pepe  -9.384417260  -40.506123860  0.000  0.01275 -0.00471
picr -10.430187770  -45.173204430  0.000  0.01277 -0.00423
pifl  -6.788125840  -43.041156740  0.000  0.01269 -0.00503
pisr  -9.030692300  -42.702759090  0.000  0.01218 -0.00528
pitn  -5.102480210  -42.793029540  0.000  0.01241 -0.00416
poal -30.074040970  -51.119765110  0.000  0.01243 -0.00208
poli -23.555646290  -46.730312410  0.000  0.01232 -0.00362
pove  -8.709335610  -63.896319940  0.000  0.01230 -0.00248
ppte -22.119903220  -51.408534330  0.000  0.01223 -0.00356
prgu -25.383996810  -51.487578230  0.000  0.01274  0.00229
prma -23.409686750  -51.938424560  0.000  0.01349 -0.00303
recf  -8.050963000  -34.951516500  0.000  0.01432 -0.00355
riob  -9.965458120  -67.802811910  0.000  0.01129 -0.00288
riod -22.817842860  -43.306277020  0.000  0.01241 -0.00402
rjcg -21.764864250  -41.326155990  0.000  0.01186 -0.00484
rnmo  -5.204232800  -37.325464920  0.000  0.01585 -0.00444
rnna  -5.836139550  -35.207708170  0.000  0.01247 -0.00465
rnpf  -6.131765630  -38.206828750  0.000  0.01232 -0.00542
rocd -13.122275280  -60.543910690  0.000  0.01150 -0.00366
rogm -10.784242190  -65.330607790  0.000  0.01103 -0.00156
roji -10.863899880  -61.959715580  0.000  0.01261 -0.00308
rosa -22.523302220  -52.952088750  0.000  0.01252 -0.00501
rspe -31.802447900  -52.417629020  0.000  0.01378  0.00200
rspf -28.228137870  -52.390620780  0.000  0.01061 -0.00309
saga  -0.143853570  -67.057781260  0.000  0.01120 -0.00425
salu  -2.593458510  -44.212479140  0.000  0.01254 -0.00470
salv -13.008669650  -38.512359150  0.000  0.01250 -0.00316
savo -12.939245660  -38.432253860  0.000  0.01269 -0.00441
scaq -26.393755160  -48.737441250  0.000  0.01063 -0.00238
scca -26.779725720  -51.039313790  0.000  0.01227 -0.00318
scch -27.137564240  -52.599507150  0.000  0.01100 -0.00328
scfl -27.599377950  -48.519534270  0.000  0.01415 -0.00261
scla -27.792834250  -50.304261810  0.000  0.01149 -0.00360
seaj -10.929631250  -37.104278360  0.000  0.01245 -0.00470
sjrp -20.785517450  -49.359951080  0.000  0.01229 -0.00370
sjsp -23.207130970  -45.861738200  0.000  0.01289 -0.00378
smar -29.718922470  -53.716593530  0.000  0.01260 -0.00179
spar -21.184664540  -50.439788610  0.000  0.01254 -0.00496
spbo -22.852465840  -48.432300910  0.000  0.01229 -0.00298
spbp -22.925586330  -46.534470700  0.000  0.01753 -0.00351
spca -22.816284710  -47.062693810  0.000  0.01090 -0.00333
spdr -21.461602750  -51.554257810  0.000  0.01635 -0.00171
spfe -20.262873400  -50.228695790  0.000  0.01189 -0.00312
spfr -20.510571780  -47.386642340  0.000  0.01272 -0.00423
spja -21.241071750  -48.286703260  0.000  0.01254 -0.00389
spli -21.665202490  -49.733695620  0.000  0.01268 -0.00369
spor -22.999167890  -49.843288630  0.000  0.01255 -0.00284
sppi -22.703047490  -47.623620870  0.000  0.01263 -0.00410
sps1 -23.479189640  -47.416835710  0.000  0.01255 -0.00421
sptu -21.929116080  -50.492370020  0.000  0.01563  0.00123
ssa1 -12.975157330  -38.516484890  0.000  0.01255 -0.00479
togu -11.746705250  -49.049098750  0.000  0.01221 -0.00405
topl -10.171052470  -48.330679320  0.000  0.01250 -0.00454
uba1 -23.500175410  -45.118901900  0.000  0.01270 -0.00375
ubat -23.500176790  -45.118902070  0.000  0.01271 -0.00321
uber -18.889535300  -48.316971610  0.000  0.01169 -0.00389
uepp -22.119903610  -51.408543860  0.000  0.01295 -0.00259
ufpr -25.448367090  -49.230955210  0.000  0.01316 -0.00351
urus -17.952800010  -67.114387990  0.000  0.01336  0.00240
uyar -30.411746430  -56.490681440  0.000  0.01168 -0.00246
uycl -32.365738720  -54.214027540  0.000  0.01176 -0.00099
uydu -33.315884640  -55.602434910  0.000  0.01076 -0.00392
uyif -34.945988970  -55.932750030  0.000  0.01068 -0.00138
uylp -34.655701410  -54.142097260  0.000  0.01210 -0.00291
uyni -20.465943650  -66.825957080  0.000  0.01529  0.00939
uypt -32.800560000  -56.509816840  0.000  0.01140 -0.00290
uyri -30.895761450  -55.559114780  0.000  0.01151 -0.00096
uyrv -31.772388940  -54.688115350  0.000  0.01154 -0.00293
uysj -34.323733220  -56.709095600  0.000  0.01153 -0.00291
uyta -31.683065620  -55.937533400  0.000  0.01305 -0.00207
varg -21.542684060  -45.434875590  0.000  0.01209 -0.00297
vico -20.761499040  -42.869989980  0.000  0.01176 -0.00392
